City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,touros,-5.1989,-35.4608,29.3,55,100,7.74,BR,1728658649
147,remire-montjoly,4.9167,-52.2667,33.02,66,40,6.17,GF,1728658701
148,yemetsk,63.4721,41.7941,4.03,81,100,7.13,RU,1728658703
149,tura,25.5198,90.2201,22.67,90,0,1.42,IN,1728658704
150,yaren,-0.5472,166.916,28.31,70,12,6.3,NR,1728658705
151,lafiagi,8.8667,5.4167,31.59,64,60,1.72,NG,1728658520
152,maragogi,-9.0122,-35.2225,28.36,58,100,6.39,BR,1728658707
153,bolo,13.7899,120.9817,26.12,85,12,1.54,PH,1728658708
154,lompoc,34.6391,-120.4579,13.23,96,100,2.06,US,1728658709
155,yeniseysk,58.4497,92.1703,-4.33,77,18,1.38,RU,1728658555
156,anbyon-up,39.0425,127.5239,14.4,79,0,2.73,KP,1728658711
157,harrisonville,38.6533,-94.3488,20.69,52,0,1.54,US,1728658713
158,preobrazheniye,42.9019,133.9064,12.42,92,1,1.81,RU,1728658714
159,papatowai,-46.5619,169.4708,6.84,90,46,2.6,NZ,1728658716
160,kudahuvadhoo,2.6708,72.8944,27.38,77,95,9.9,MV,1728658717
161,soweto,-26.2678,27.8585,30.77,13,48,1.03,ZA,1728658718
162,camayenne,9.535,-13.6878,29.05,84,40,1.03,GN,1728658719
163,st. john's,47.5649,-52.7093,12.76,76,40,5.66,CA,1728658659
164,tucuma,-0.1833,-50.05,32.65,53,55,2.84,BR,1728658529
165,codrington,-38.2667,141.9667,8.92,79,3,3.5,AU,1728658723
166,holualoa,19.6228,-155.9522,24.37,56,0,2.06,US,1728658724
167,isafjordur,66.0755,-23.124,0.02,59,20,2.06,IS,1728658725
168,nkowakowa,-23.8878,30.2871,32.89,18,0,3.23,ZA,1728658510
169,winneba,5.3511,-0.6231,27.05,78,57,6.03,GH,1728658729
170,gbarnga,6.9956,-9.4722,24.6,96,100,1.66,LR,1728658730
171,tazovsky,67.4667,78.7,-2.45,90,100,4.87,RU,1728658731
172,undurkhaan,47.3194,110.6556,5.89,57,5,3.58,MN,1728658732
173,dong ha,16.8163,107.1003,23.72,92,50,1.31,VN,1728658473
174,tromso,69.6496,18.957,3.01,87,75,4.63,NO,1728658734
175,egilsstadir,65.2653,-14.3948,0.95,64,75,6.69,IS,1728658735
176,kaman,27.65,77.2667,29.47,24,21,1.36,IN,1728658736
177,nuku'alofa,-21.1333,-175.2,24.19,100,75,5.14,TO,1728658738
178,ca mau,9.1769,105.15,25.56,93,100,1.51,VN,1728658740
179,jamestown,42.097,-79.2353,13.9,73,0,4.12,US,1728658544
180,kone,-21.0595,164.8658,20.49,82,41,1.34,NC,1728658742
181,sarlat-la-caneda,44.889,1.2166,17.71,56,12,2.01,FR,1728658743
182,vila franca do campo,37.7167,-25.4333,21.23,99,91,7.1,PT,1728658744
183,sosnovo-ozerskoye,52.5249,111.5418,-5.28,74,6,2.31,RU,1728658745
184,hawaiian paradise park,19.5933,-154.9731,21.73,78,75,2.06,US,1728658747
185,mogoytuy,51.2833,114.9167,0.02,47,38,2.28,RU,1728658748
186,alotau,-10.3069,150.4462,23.98,95,100,1.55,PG,1728658749
187,sandnessjoen,66.0217,12.6316,6.06,70,75,8.23,NO,1728658750
188,al muwayh,22.4333,41.7583,30.47,25,6,10.15,SA,1728658752
189,la asuncion,11.0333,-63.8628,23.85,100,50,7.2,VE,1728658753
190,ardestan,33.3761,52.3694,26.65,13,0,2.46,IR,1728658754
191,manvel,29.4627,-95.358,26.13,73,0,0.89,US,1728658755
192,cavinti,14.2448,121.508,23.3,97,13,1.21,PH,1728658757
193,san rafael del sur,11.8485,-86.4384,25.99,87,100,1.58,NI,1728658758
194,isangel,-19.55,169.2667,21.84,73,80,5.23,VU,1728658759
195,bandarbeyla,9.4942,50.8122,26.48,76,34,10.66,SO,1728658761
196,san antonio de pale,-1.4014,5.6325,25.28,77,85,3.29,GQ,1728658762
197,raja,8.4596,25.678,27.27,77,87,0.83,SS,1728658764
198,amahai,-3.3333,128.9167,26.17,86,96,0.92,ID,1728658765
199,pinhao,-25.6956,-51.6597,17.22,98,100,5.43,BR,1728658766
200,bongouanou,6.6486,-4.1992,27.06,88,45,1.42,CI,1728658767
201,kedrovka,55.5333,86.05,-1.51,53,100,6.96,RU,1728658768
202,sault ste. marie,46.5168,-84.3333,11.16,100,20,2.57,CA,1728658572
203,praia,14.9215,-23.5087,28.3,83,100,5.14,CV,1728658772
204,anadyr,64.75,177.4833,-6.72,79,75,3.0,RU,1728658774
205,chernyakhovsk,54.6335,21.8156,11.86,58,100,4.56,RU,1728658555
206,san clemente,33.427,-117.612,23.09,67,4,1.22,US,1728658776
207,bodaybo,57.8506,114.1933,-2.93,86,95,0.28,RU,1728658777
